DATE,SITE,SECTION,LOCATION,PLOT,SIZE
12/13/2017,RFB3,1,Windward,1,82.4
12/13/2017,RFB3,1,Windward,1,105
12/13/2017,RFB3,1,Windward,1,82.4
12/13/2017,RFB3,1,Windward,1,77.2
12/13/2017,RFB3,1,Windward,2,69.9
12/13/2017,RFB3,1,Windward,2,61.8
12/13/2017,RFB3,1,Windward,2,95.2
12/13/2017,RFB3,1,Windward,2,102.2
12/13/2017,RFB3,1,Windward,2,73.7
12/13/2017,RFB3,1,Windward,2,72.3
12/13/2017,RFB3,1,Windward,2,67.4
12/13/2017,RFB3,1,Leeward,1,82.7
12/13/2017,RFB3,1,Leeward,1,102.1
12/13/2017,RFB3,1,Leeward,2,103
12/13/2017,RFB3,1,Leeward,2,82.7
12/13/2017,RFB3,1,Leeward,2,97.3
12/13/2017,RFB3,1,Leeward,2,72.5
12/13/2017,RFB3,1,Leeward,2,60.1
12/13/2017,RFB3,1,Leeward,3,82.2
12/13/2017,RFB3,1,Leeward,3,90.4
12/13/2017,RFB3,1,Leeward,3,98.7
12/13/2017,RFB3,1,Leeward,3,78.1
12/13/2017,RFB3,1,Leeward,3,37.8
12/13/2017,WAD,2,Windward,1,28.8
12/13/2017,WAD,2,Windward,1,75.1
12/13/2017,WAD,2,Windward,1,71.9
12/13/2017,WAD,2,Windward,1,63.8
12/13/2017,WAD,2,Windward,1,49.8
12/13/2017,WAD,2,Windward,1,52.2
12/13/2017,WAD,2,Windward,1,55.1
12/13/2017,WAD,2,Windward,1,54.1
12/13/2017,WAD,2,Windward,1,76.5
12/13/2017,WAD,2,Windward,1,82.7
12/13/2017,WAD,2,Windward,1,76.7
12/13/2017,WAD,2,Windward,2,62
12/13/2017,WAD,2,Windward,2,35.7
12/13/2017,WAD,2,Windward,2,60.7
12/13/2017,WAD,2,Windward,2,58.7
12/13/2017,WAD,2,Windward,3,82.7
12/13/2017,WAD,2,Windward,3,66.4
12/13/2017,WAD,2,Windward,3,63.3
12/13/2017,WAD,2,Windward,3,60.7
12/13/2017,WAD,2,Windward,3,48.7
12/13/2017,WAD,2,Leeward,1,115.1
12/13/2017,WAD,2,Leeward,1,114.5
12/13/2017,WAD,2,Leeward,1,120.3
12/13/2017,WAD,2,Leeward,1,104.8
12/13/2017,WAD,2,Leeward,2,102.1
12/13/2017,WAD,2,Leeward,2,121.2
12/13/2017,WAD,2,Leeward,2,47.3
12/13/2017,WAD,2,Leeward,2,102
12/13/2017,WAD,2,Leeward,2,97.7
12/13/2017,WAD,2,Leeward,3,104.9
12/13/2017,WAD,2,Leeward,3,90.1
12/13/2017,WAD,2,Leeward,3,81.3
12/13/2017,WAD,2,Leeward,3,80.7
12/13/2017,WAD,2,Leeward,3,78.3
12/13/2017,WAD,2,Leeward,3,97.9
12/13/2017,WAD,2,Leeward,3,87
12/13/2017,WAD,2,Leeward,3,38.4
12/13/2017,WAD,2,Leeward,3,73.4
12/13/2017,WAD,2,Leeward,3,111.5
12/13/2017,WAD,2,Leeward,3,115.8
12/13/2017,WAD,3,Windward,1,52.2
12/13/2017,WAD,3,Windward,1,54.9
12/13/2017,WAD,3,Windward,1,48.4
12/13/2017,WAD,3,Windward,1,63.6
12/13/2017,WAD,3,Windward,1,51
