code,state,town,gis,f.scale
N1635,MA,Boston city,486,2
N1635,MA,Plymouth town,461,3
N1638a,MA,Boston city,486,1
N1638b,MA,Boston city,486,0
N1638b,ME,Scarborough town,634,2
N1646,MA,Salem city,521,2
N1675,MA,Boston city,486,0
N1675,MA,Lynn city,518,1
N1675,CT,Stonington town,124,1
N1683,CT,Stonington town,124,1
N1698,NH,Dover city,1325,2
N1716,MA,Boston city,486,1
N1727,MA,Boston city,486,1
N1727,MA,Marblehead town,522,2
N1727,CT,New London town,142,1
N1727,MA,Newbury town,500,1
N1727,MA,Sudbury town,212,2
N1727,MA,Swansea town,320,2
N1761,MA,Boston city,486,2
N1761,MA,Chelsea city,488,2
N1761,MA,Dedham town,443,1
N1761,MA,Lynn city,518,2
N1761,RI,Newport city,1355,1
N1761,NH,Portsmouth city,1293,0
N1761,RI,Providence city,1360,2
N1769,NY,Bronx borough,1639,1
N1769,NY,Brooklyn borough,1640,1
N1769,MA,Lynn city,518,2
N1769,NY,Manhattan borough,1646,1
N1769,CT,New Haven town,100,1
N1769,NY,Queens borough,1649,1
N1769,NY,Staten Island borough,1650,1
N1770,MA,Boston city,486,2
N1770,RI,Newport city,1355,2
N1770,NH,Portsmouth city,1293,2
N1770,MA,Salem city,521,1
N1785,NY,Bronx borough,1639,2
N1785,NY,Brooklyn borough,1640,2
N1785,NY,Manhattan borough,1646,2
N1785,NY,Queens borough,1649,2
N1785,NY,Staten Island borough,1650,2
N1788,MA,Ashfield town,345,2
N1788,VT,Bennington town,1417,1
N1788,NY,Bronx borough,1639,2
N1788,NY,Brooklyn borough,1640,2
N1788,MA,Conway town,346,2
N1788,MA,Deerfield town,347,2
N1788,VT,Dummerston town,1582,2
N1788,NH,Hanover town,1185,1
N1788,CT,Hartford town,41,2
N1788,MA,Hatfield town,382,2
N1788,MA,Lee town,420,1
N1788,CT,Litchfield town,66,1
N1788,NY,Manhattan borough,1646,2
N1788,NH,Meredith town,1093,2
N1788,NH,New Hampton town,1092,2
N1788,CT,New Haven town,100,1
N1788,CT,Norfolk town,58,2
N1788,MA,Northampton city,386,2
N1788,MA,Petersham town,253,2
