datetime,code,year,month,day,hour,minute,lat,long,vm.m,vm.k
1635-08-24T18:00,N1635,1635,8,24,18,0,36.9,-74.3,56.6,110
1635-08-25T00:00,N1635,1635,8,25,0,0,39.2,-72.8,56.6,110
1635-08-25T06:00,N1635,1635,8,25,6,0,41.7,-71.2,56.6,110
1635-08-25T12:00,N1635,1635,8,25,12,0,44.1,-69.4,48.9,95
1635-08-25T18:00,N1635,1635,8,25,18,0,45.9,-67.3,36,70
1635-08-26T00:00,N1635,1635,8,26,0,0,47.5,-64.8,25.7,50
1638-08-13T12:00,N1638a,1638,8,13,12,0,38,-73.1,46.3,90
1638-08-13T18:00,N1638a,1638,8,13,18,0,40.1,-72.9,46.3,90
1638-08-14T00:00,N1638a,1638,8,14,0,0,42.4,-72.2,41.2,80
1638-08-14T06:00,N1638a,1638,8,14,6,0,44.5,-71.5,30.9,60
1638-08-14T12:00,N1638a,1638,8,14,12,0,46.6,-70.9,25.7,50
1638-08-14T18:00,N1638a,1638,8,14,18,0,48.6,-70.1,20.6,40
1638-10-04T12:00,N1638b,1638,10,4,12,0,37.6,-70.7,46.3,90
1638-10-04T18:00,N1638b,1638,10,4,18,0,40,-70.6,46.3,90
1638-10-05T00:00,N1638b,1638,10,5,0,0,42.4,-70.4,46.3,90
1638-10-05T06:00,N1638b,1638,10,5,6,0,44.7,-70.2,38.6,75
1638-10-05T12:00,N1638b,1638,10,5,12,0,47,-69.8,25.7,50
1638-10-05T18:00,N1638b,1638,10,5,18,0,49.5,-69.3,20.6,40
1646-11-14T06:00,N1646,1646,11,14,6,0,36.7,-73.7,46.3,90
1646-11-14T12:00,N1646,1646,11,14,12,0,38.9,-72.6,46.3,90
1646-11-14T18:00,N1646,1646,11,14,18,0,41.1,-71.2,43.7,85
1646-11-15T00:00,N1646,1646,11,15,0,0,43.4,-69.6,41.2,80
1646-11-15T06:00,N1646,1646,11,15,6,0,45.4,-67.8,30.9,60
1646-11-15T12:00,N1646,1646,11,15,12,0,47.3,-65.9,25.7,50
1646-11-15T18:00,N1646,1646,11,15,18,0,49.3,-63.8,20.6,40
1675-09-07T03:00,N1675,1675,9,7,3,0,37.8,-74.6,51.4,100
1675-09-07T06:00,N1675,1675,9,7,6,0,39.1,-74.1,48.9,95
1675-09-07T09:00,N1675,1675,9,7,9,0,40.2,-73.6,46.3,90
1675-09-07T12:00,N1675,1675,9,7,12,0,41.3,-72.9,43.7,85
1675-09-07T15:00,N1675,1675,9,7,15,0,42.2,-72.1,38.6,75
1675-09-07T18:00,N1675,1675,9,7,18,0,43.3,-71.2,33.4,65
1675-09-07T21:00,N1675,1675,9,7,21,0,44.2,-70.3,28.3,55
1675-09-08T00:00,N1675,1675,9,8,0,0,45.2,-69.2,23.1,45
1675-09-08T03:00,N1675,1675,9,8,3,0,46.2,-68.2,18,35
1675-09-08T06:00,N1675,1675,9,8,6,0,47.1,-67.2,15.4,30
1675-09-08T09:00,N1675,1675,9,8,9,0,48.1,-66.1,15.4,30
1683-08-23T00:00,N1683,1683,8,23,0,0,37.2,-73.7,43.7,85
1683-08-23T06:00,N1683,1683,8,23,6,0,39.2,-73.3,41.2,80
1683-08-23T12:00,N1683,1683,8,23,12,0,41.4,-72.7,41.2,80
1683-08-23T18:00,N1683,1683,8,23,18,0,43.6,-71.7,30.9,60
1683-08-24T00:00,N1683,1683,8,24,0,0,45.6,-70.6,25.7,50
1683-08-24T06:00,N1683,1683,8,24,6,0,47.5,-69.5,20.6,40
1683-08-24T12:00,N1683,1683,8,24,12,0,49.7,-68.2,15.4,30
1698-10-09T18:00,N1698,1698,10,9,18,0,36.7,-72.8,46.3,90
1698-10-10T00:00,N1698,1698,10,10,0,0,38.9,-72.6,43.7,85
1698-10-10T06:00,N1698,1698,10,10,6,0,40.8,-72.3,43.7,85
1698-10-10T12:00,N1698,1698,10,10,12,0,43.1,-71.8,38.6,75
1698-10-10T18:00,N1698,1698,10,10,18,0,45,-71.1,25.7,50
1698-10-11T00:00,N1698,1698,10,11,0,0,47.1,-70.2,20.6,40
1698-10-11T06:00,N1698,1698,10,11,6,0,49.2,-69.1,15.4,30
1716-10-24T12:00,N1716,1716,10,24,12,0,37.8,-72.6,46.3,90
1716-10-25T00:00,N1716,1716,10,25,0,0,39.6,-71.5,46.3,90
1716-10-25T12:00,N1716,1716,10,25,12,0,41.3,-69.6,46.3,90
1716-10-26T00:00,N1716,1716,10,26,0,0,42.6,-66.9,36,70
1716-10-26T12:00,N1716,1716,10,26,12,0,43.5,-64.3,30.9,60
1727-09-27T04:00,N1727,1727,9,27,4,0,37.7,-74.8,51.4,100
1727-09-27T06:00,N1727,1727,9,27,6,0,38.3,-74.5,51.4,100
1727-09-27T09:00,N1727,1727,9,27,9,0,39.4,-74,48.9,95
1727-09-27T12:00,N1727,1727,9,27,12,0,40.5,-73.2,46.3,90
1727-09-27T15:00,N1727,1727,9,27,15,0,41.5,-72.2,43.7,85
1727-09-27T18:00,N1727,1727,9,27,18,0,42.4,-71.3,38.6,75
1727-09-27T21:00,N1727,1727,9,27,21,0,43.3,-70.1,33.4,65
1727-09-28T00:00,N1727,1727,9,28,0,0,44,-68.9,30.9,60
1727-09-28T03:00,N1727,1727,9,28,3,0,44.9,-67.6,25.7,50
1727-09-28T06:00,N1727,1727,9,28,6,0,45.7,-66.3,20.6,40
1727-09-28T09:00,N1727,1727,9,28,9,0,46.4,-64.9,15.4,30
1761-10-23T09:00,N1761,1761,10,23,9,0,37.3,-75.1,46.3,90
1761-10-23T12:00,N1761,1761,10,23,12,0,38.4,-74.7,46.3,90
1761-10-23T15:00,N1761,1761,10,23,15,0,39.4,-74,46.3,90
1761-10-23T18:00,N1761,1761,10,23,18,0,40.5,-73.2,46.3,90
1761-10-23T21:00,N1761,1761,10,23,21,0,41.5,-72.3,43.7,85
