code,site,f.scale,w.dir
N1635,Petersham,1.6,8
N1638a,Petersham,1.4,61
N1638b,Petersham,0.3,325
N1646,Petersham,0.7,16
N1675,Petersham,1.1,67
N1683,Petersham,1.1,69
N1698,Petersham,1.2,45
N1716,Petersham,0.6,358
N1727,Petersham,1,49
N1761,Petersham,1,55
N1769,Petersham,0.6,34
N1770,Petersham,1.2,360
N1785,Petersham,0.9,30
N1788,Petersham,2.1,172
N1804,Petersham,1.5,339
N1806,Petersham,0.4,17
N1815,Petersham,2,71
N1821,Petersham,1.7,147
N1825,Petersham,0.7,70
N1830,Petersham,0.2,16
N1839,Petersham,0,0
N1841,Petersham,0.7,9
N1846,Petersham,1.5,135
N1849,Petersham,0.7,13
N1850,Petersham,0.1,115
N1854,Petersham,0.3,42
N1858,Petersham,0.6,55
N1861,Petersham,0.9,53
N1869a,Petersham,1.4,24
N1869b,Petersham,NA,NA
N1878,Petersham,0.9,114
N1888,Petersham,0.3,353
N1891,Petersham,NA,NA
N1893b,Petersham,1.5,154
N1893c,Petersham,0.9,145
N1896,Petersham,0.1,335
N1903,Petersham,NA,NA
N1916,Petersham,NA,NA
N1924,Petersham,0.6,13
N1927,Petersham,NA,NA
N1934,Petersham,NA,NA
N1936a,Petersham,NA,NA
N1938,Petersham,2.3,126
N1940,Petersham,NA,NA
N1944,Petersham,1.1,47
N1953a,Petersham,NA,NA
N1954a,Petersham,1,56
N1954b,Petersham,0.5,24
N1958,Petersham,NA,NA
N1960,Petersham,0.9,54
N1961,Petersham,NA,NA
N1962a,Petersham,NA,NA
N1969,Petersham,NA,NA
N1976,Petersham,0.1,77
N1985,Petersham,0.9,86
N1991,Petersham,1,23
N1996,Petersham,NA,NA
N1635,Providence,2.2,62
N1638a,Providence,1.8,143
N1638b,Providence,1,320
N1646,Providence,1.3,52
N1675,Providence,1.7,147
N1683,Providence,1.6,139
N1698,Providence,1.7,110
N1716,Providence,1.3,359
N1727,Providence,1.7,117
N1761,Providence,1.7,121
N1769,Providence,1.3,68
N1770,Providence,1.7,19
N1785,Providence,1.4,42
N1788,Providence,1.2,170
N1804,Providence,2.1,240
N1806,Providence,1.1,15
N1815,Providence,2.5,142
N1821,Providence,1.1,138
N1825,Providence,1,102
N1830,Providence,0.9,17
N1839,Providence,0.7,358
N1841,Providence,1.4,5
N1846,Providence,1.3,164
N1849,Providence,1.3,30
N1850,Providence,0.1,122
N1854,Providence,0.9,46
N1858,Providence,1.6,144
N1861,Providence,1.4,83
N1869a,Providence,2.5,108
N1869b,Providence,0.1,291
N1878,Providence,1.1,200
N1888,Providence,0.9,345
N1891,Providence,0.4,10
N1893b,Providence,0.7,155
N1893c,Providence,0.6,181
N1896,Providence,0.7,327
N1903,Providence,0,106
N1916,Providence,0,13
N1924,Providence,1.2,13
N1927,Providence,0,37
N1934,Providence,0.2,109
N1936a,Providence,0.4,48
N1938,Providence,2.1,131
N1940,Providence,0,322
N1944,Providence,1.7,95
N1953a,Providence,0.1,20
N1954a,Providence,1.7,144
N1954b,Providence,1.1,45
N1958,Providence,0.3,36
N1960,Providence,1.6,103
N1961,Providence,0.6,30
N1962a,Providence,0.1,360
N1969,Providence,0,9
N1976,Providence,0.5,112
N1985,Providence,1.4,159
N1991,Providence,1.5,66
N1996,Providence,0.1,18
