reef_ID,habitat,location,latitude,longitude,bucket,weight_ttl,weight_liveOyster,weight_shell,count,density,length_avg,length_stDev,length_median
unitless,unitless,unitless,degrees_north,degrees_east,unitless,kilograms,kilograms,kilograms,count,count per meter,centimeters,unitless,centimeters
MF 2,Flat,1,34.6928167,-76.6211167,11,5.3,4.1,1.2,136,2176,64.22,23.96,63
MF 1 00,Flat,2,34.68845,-76.6154167,8,7.3,5.95,1.35,163,2608,67.39,28.91,65
MF6,Flat,3,34.6849667,-76.6124167,3,9.1,7.3,1.8,206,3296,70.12,26.05,65
SM 9,Marsh,1,34.6928167,-76.6226,7,3.2,0.6,2.6,34,544,35.12,7.16,34.5
SMSG 47,Marsh,2,34.6884833,-76.6167,10,3.9,2.4,1.5,76,1216,51.14,15.57,49.5
SM 7,Marsh,3,34.6828667,-76.6107833,6,1.5,0.1,1.4,8,128,39.75,9.19,41.5
SG 20,Seagrass,1,34.6939667,-76.6197333,12,2.6,1.35,1.25,44,704,51.02,13.12,50
SMSG 43,Seagrass,3,34.6893,-76.6156472,9,4.3,3.2,1.1,93,1488,55.33,19.16,52
SMSG 00,Seagrass,2,34.68235,-76.6107944,22,2.4,0.55,1.85,16,256,40.75,11.3,37.5
