Table 1.1. Discrete water-quality data sources.,,,,
"[NOAA,  National Oceanic and Atmospheric Administration; LUMCON, Louisiana Universities Marine Consortium; CPRA, Coastal Protection and Restoration Authority; hr, hour; NRDA, Natural Resource Damage Assessment]",,,,
Source,Abbreviation,Spatial extent,Variables,Link
Data collection platforms,,,,
U.S. Geological Survey,USGS,All Gulf of Mexico States,"Salinity
Water temperature",https://maps.waterdata.usgs.gov/mapper/index.html
NOAA Tides and Currents,NOAA,All Gulf of Mexico States,"Water temperature
Water depth",https://tidesandcurrents.noaa.gov/
,NOAA,Louisiana and Florida,"Salinity
Water temperature
Water depth",https://tidesandcurrents.noaa.gov/ofs/ngofs/ngofs.html
Oyster Sentinel,OysterSentinel,All Gulf of Mexico States,Dermo,https://oystersentinel.cs.uno.edu/
National Estuarine Research Reserve System ,NERRS,"Texas, Mississippi, Alabama, Florida","Salinity
Water temperature
Water depth
Dissolved oxygen
Chlorophyll a",http://cdmo.baruch.sc.edu/get/landing.cfm
Florida Fish and Wildlife Conservation Commission,FWCC,Florida,"Salinity
Water temperature
Dissolved oxygen",https://myfwc.com/
South Florida Water Management District,SFWMD,Florida,"Salinity
Water temperature
Dissolved oxygen
Chlorophyll a",https://www.sfwmd.gov/science-data/dbhydro
Florida Department of Environmental Protection,FDEP,Florida,Chlorophyll a,"https://floridadep.gov/, https://prodenv.dep.state.fl.us/DearSpa/public/welcome"
Alabama Department of Environmental Management,ADEM,Alabama,"Salinity
Water temperature
Water depth
Dissolved oxygen
Chlorophyll a",Water Quality Monitoring Strategy; http://adem.alabama.gov/programs/water/wqsurvey/WQMonitoringStrategy.pdf
Alabama's Real-Time Coastal Observing System,ARCOS,Alabama,"Salinity
Water temperature
Dissolved oxygen",https://arcos.disl.org/
Louisiana Department of Wildlife and Fisheries,LDWF,Louisiana,"Salinity
Water temperature
Dissolved oxygen",https://www.wlf.louisiana.gov/
Coastal Reference Monitoring System,CRMS,Louisiana,"Salinity
Water temperature
Water depth",https://lacoast.gov/crms/
LUMCON Weather Station,LUMCON,Louisiana,"Salinity
Water temperature
Water depth
Dissolved oxygen
Chlorophyll a",http://weatherstations.lumcon.edu/index.html
Louisiana Department of Environmental Quality,LDEQ,Louisiana,"Salinity
Water temperature
Dissolved oxygen
Water depth 
pH
Secchi",https://waterdata.deq.louisiana.gov/
Lower Colorado River Authority,LCRA,Texas,"Salinity
Water temperature
Dissolved oxygen",https://waterquality.lcra.org/
Texas Water Development Board,TWDB,Texas,"Salinity
Water temperature
Water depth
Dissolved oxygen",https://www.twdb.texas.gov/
Texas Parks and Wildlife Department,TPWD,Texas,"Salinity
Water temperature
Dissolved oxygen",https://tpwd.texas.gov/
"Data repositories for agencies and programs, or other data ",,,,
Gulf of Mexico Alliance,GOMA,All Gulf of Mexico States,Data repository,https://gulfofmexicoalliance.org/;  https://gulfofmexicoalliance.org/files/projects/files/goma_gulf_monitoring_white_paper.pdf
National Water Quality Monitoring Council,NWQMC,All Gulf of Mexico States,Water quality data repository,https://www.waterqualitydata.us/
Data.GOV,data.gov,All Gulf of Mexico States,Data repository,data.gov
Gulf of Mexico Research Initiative,GRIIDC,All Gulf of Mexico States,Data repository from supported studies,https://data.gulfresearchinitiative.org/
Coastal Protection and Restoration Authority Coastal Information Management System,CIMS,Louisiana,"Hydrographic data, accretion data, surface elevation, marsh vegetation, soil properties",https://cims.coastal.louisiana.gov/
Strategic Online Natural Resources Information System,SONRIS,Louisiana,"Oil, gas, injection well info, state land leasing, ground water, etc.",http://www.sonris.com/
Mississippi Department of Wildlife Fisheries and Parks,MDWFP,Mississippi,Data repository,https://www.mdwfp.com/
Mississippi Department of Marine Resources,DMR,Mississippi,Data repository including oyster habitat and water quality sampling programs,https://dmr.ms.gov/marine-fisheries
Alabama Department of Conservation and Natural Resources,ADCNR,Alabama,Artificial reef locations and types,https://conservationgis.alabama.gov/dcnr/
Dauphin Island Data Management Center,DISL,Alabama,Environmental and ecosystem level data,https://www.disl.org/research/data-management-center
Water Quality Monitoring Project,WQMP,Florida,Water quality,http://ocean.floridamarine.org/FKNMS_WQPP/waterQualityNew.htm
Streamgages,USACE,Louisiana,"Stage, 24-hr precipitation",https://rivergages.mvr.usace.army.mil/WaterControl/new/layout.cfm
U.S. Army Corps of Engineers,USACE,All Gulf of Mexico States,"Stage, discharge, velocity, inflow ",https://www.usace.army.mil/Locations
NOAA Council Monitoring and Assessment Program,CMAP,All Gulf of Mexico States,Inventory of existing habitat and water quality monitoring and mapping metadata for Gulf of Mexico programs,https://repository.library.noaa.gov/view/noaa/21173
NOAA Data Integration and Visualization Exploration and Reporting (DIVER) Portal,DIVER,All Gulf of Mexico States,Data repository for NRDA ,https://www.diver.orr.noaa.gov/
